group_id,input_time,target_0h,target_0h_file,target_0h_mode,target_0h_diff_sec,target_1h,target_1h_file,target_1h_mode,target_1h_diff_sec,target_2h,target_2h_file,target_2h_mode,target_2h_diff_sec,target_3h,target_3h_file,target_3h_mode,target_3h_diff_sec
28,2025-08-01 09:20:08,2025-08-01 09:20:08,NHB250801092008.RAWLTWP,Long Range,0.0,2025-08-01 10:20:08,NHB250801102008.RAWLTXZ,Long Range,0.0,2025-08-01 11:20:08,NHB250801112008.RAWLTZ8,Long Range,0.0,2025-08-01 12:20:07,NHB250801122007.RAWLU0H,Long Range,1.0
29,2025-08-01 09:40:07,2025-08-01 09:40:07,NHB250801094007.RAWLTX4,Long Range,0.0,2025-08-01 10:40:08,NHB250801104008.RAWLTYD,Long Range,1.0,2025-08-01 11:40:09,NHB250801114009.RAWLTZN,Long Range,2.0,2025-08-01 12:40:08,NHB250801124008.RAWLU0Y,Long Range,1.0
30,2025-08-01 10:00:08,2025-08-01 10:00:08,NHB250801100008.RAWLTXJ,Long Range,0.0,2025-08-01 11:00:08,NHB250801110008.RAWLTYU,Long Range,0.0,2025-08-01 12:00:07,NHB250801120007.RAWLU03,Long Range,1.0,2025-08-01 13:00:08,NHB250801130008.RAWLU1C,Long Range,0.0
31,2025-08-01 10:20:08,2025-08-01 10:20:08,NHB250801102008.RAWLTXZ,Long Range,0.0,2025-08-01 11:20:08,NHB250801112008.RAWLTZ8,Long Range,0.0,2025-08-01 12:20:07,NHB250801122007.RAWLU0H,Long Range,1.0,2025-08-01 13:20:07,NHB250801132007.RAWLU1T,Long Range,1.0
32,2025-08-01 10:40:08,2025-08-01 10:40:08,NHB250801104008.RAWLTYD,Long Range,0.0,2025-08-01 11:40:09,NHB250801114009.RAWLTZN,Long Range,1.0,2025-08-01 12:40:08,NHB250801124008.RAWLU0Y,Long Range,0.0,2025-08-01 13:40:08,NHB250801134008.RAWLU27,Long Range,0.0
33,2025-08-01 11:00:08,2025-08-01 11:00:08,NHB250801110008.RAWLTYU,Long Range,0.0,2025-08-01 12:00:07,NHB250801120007.RAWLU03,Long Range,1.0,2025-08-01 13:00:08,NHB250801130008.RAWLU1C,Long Range,0.0,2025-08-01 14:00:08,NHB250801140008.RAWLU2M,Long Range,0.0
34,2025-08-01 11:20:08,2025-08-01 11:20:08,NHB250801112008.RAWLTZ8,Long Range,0.0,2025-08-01 12:20:07,NHB250801122007.RAWLU0H,Long Range,1.0,2025-08-01 13:20:07,NHB250801132007.RAWLU1T,Long Range,1.0,2025-08-01 14:20:08,NHB250801142008.RAWLU32,Long Range,0.0
35,2025-08-01 11:40:09,2025-08-01 11:40:09,NHB250801114009.RAWLTZN,Long Range,0.0,2025-08-01 12:40:08,NHB250801124008.RAWLU0Y,Long Range,1.0,2025-08-01 13:40:08,NHB250801134008.RAWLU27,Long Range,1.0,2025-08-01 14:40:08,NHB250801144008.RAWLU3G,Long Range,1.0
36,2025-08-01 12:00:07,2025-08-01 12:00:07,NHB250801120007.RAWLU03,Long Range,0.0,2025-08-01 13:00:08,NHB250801130008.RAWLU1C,Long Range,1.0,2025-08-01 14:00:08,NHB250801140008.RAWLU2M,Long Range,1.0,2025-08-01 15:00:07,NHB250801150007.RAWLU3X,Long Range,0.0
37,2025-08-01 12:20:07,2025-08-01 12:20:07,NHB250801122007.RAWLU0H,Long Range,0.0,2025-08-01 13:20:07,NHB250801132007.RAWLU1T,Long Range,0.0,2025-08-01 14:20:08,NHB250801142008.RAWLU32,Long Range,1.0,2025-08-01 15:20:08,NHB250801152008.RAWLU4B,Long Range,1.0
38,2025-08-01 12:40:08,2025-08-01 12:40:08,NHB250801124008.RAWLU0Y,Long Range,0.0,2025-08-01 13:40:08,NHB250801134008.RAWLU27,Long Range,0.0,2025-08-01 14:40:08,NHB250801144008.RAWLU3G,Long Range,0.0,2025-08-01 15:40:08,NHB250801154008.RAWLU4S,Long Range,0.0
39,2025-08-01 13:00:08,2025-08-01 13:00:08,NHB250801130008.RAWLU1C,Long Range,0.0,2025-08-01 14:00:08,NHB250801140008.RAWLU2M,Long Range,0.0,2025-08-01 15:00:07,NHB250801150007.RAWLU3X,Long Range,1.0,2025-08-01 16:00:08,NHB250801160008.RAWLU56,Long Range,0.0
40,2025-08-01 13:20:07,2025-08-01 13:20:07,NHB250801132007.RAWLU1T,Long Range,0.0,2025-08-01 14:20:08,NHB250801142008.RAWLU32,Long Range,1.0,2025-08-01 15:20:08,NHB250801152008.RAWLU4B,Long Range,1.0,2025-08-01 16:20:07,NHB250801162007.RAWLU5L,Long Range,0.0
41,2025-08-01 13:40:08,2025-08-01 13:40:08,NHB250801134008.RAWLU27,Long Range,0.0,2025-08-01 14:40:08,NHB250801144008.RAWLU3G,Long Range,0.0,2025-08-01 15:40:08,NHB250801154008.RAWLU4S,Long Range,0.0,2025-08-01 16:40:08,NHB250801164008.RAWLU61,Long Range,0.0
42,2025-08-01 14:00:08,2025-08-01 14:00:08,NHB250801140008.RAWLU2M,Long Range,0.0,2025-08-01 15:00:07,NHB250801150007.RAWLU3X,Long Range,1.0,2025-08-01 16:00:08,NHB250801160008.RAWLU56,Long Range,0.0,2025-08-01 17:00:08,NHB250801170008.RAWLU6F,Long Range,0.0
43,2025-08-01 14:20:08,2025-08-01 14:20:08,NHB250801142008.RAWLU32,Long Range,0.0,2025-08-01 15:20:08,NHB250801152008.RAWLU4B,Long Range,0.0,2025-08-01 16:20:07,NHB250801162007.RAWLU5L,Long Range,1.0,2025-08-01 17:20:08,NHB250801172008.RAWLU6W,Long Range,0.0
44,2025-08-01 14:40:08,2025-08-01 14:40:08,NHB250801144008.RAWLU3G,Long Range,0.0,2025-08-01 15:40:08,NHB250801154008.RAWLU4S,Long Range,0.0,2025-08-01 16:40:08,NHB250801164008.RAWLU61,Long Range,0.0,2025-08-01 17:40:07,NHB250801174007.RAWLU7A,Long Range,1.0
45,2025-08-01 15:00:07,2025-08-01 15:00:07,NHB250801150007.RAWLU3X,Long Range,0.0,2025-08-01 16:00:08,NHB250801160008.RAWLU56,Long Range,1.0,2025-08-01 17:00:08,NHB250801170008.RAWLU6F,Long Range,1.0,2025-08-01 18:00:09,NHB250801180009.RAWLU7R,Long Range,2.0
46,2025-08-01 15:20:08,2025-08-01 15:20:08,NHB250801152008.RAWLU4B,Long Range,0.0,2025-08-01 16:20:07,NHB250801162007.RAWLU5L,Long Range,1.0,2025-08-01 17:20:08,NHB250801172008.RAWLU6W,Long Range,0.0,2025-08-01 18:20:07,NHB250801182007.RAWLU85,Long Range,1.0
47,2025-08-01 15:40:08,2025-08-01 15:40:08,NHB250801154008.RAWLU4S,Long Range,0.0,2025-08-01 16:40:08,NHB250801164008.RAWLU61,Long Range,0.0,2025-08-01 17:40:07,NHB250801174007.RAWLU7A,Long Range,1.0,2025-08-01 18:40:08,NHB250801184008.RAWLU8K,Long Range,0.0
48,2025-08-01 16:00:08,2025-08-01 16:00:08,NHB250801160008.RAWLU56,Long Range,0.0,2025-08-01 17:00:08,NHB250801170008.RAWLU6F,Long Range,0.0,2025-08-01 18:00:09,NHB250801180009.RAWLU7R,Long Range,1.0,2025-08-01 19:00:08,NHB250801190008.RAWLU90,Long Range,0.0
49,2025-08-01 16:20:07,2025-08-01 16:20:07,NHB250801162007.RAWLU5L,Long Range,0.0,2025-08-01 17:20:08,NHB250801172008.RAWLU6W,Long Range,1.0,2025-08-01 18:20:07,NHB250801182007.RAWLU85,Long Range,0.0,2025-08-01 19:20:08,NHB250801192008.RAWLU9E,Long Range,1.0
50,2025-08-01 16:40:08,2025-08-01 16:40:08,NHB250801164008.RAWLU61,Long Range,0.0,2025-08-01 17:40:07,NHB250801174007.RAWLU7A,Long Range,1.0,2025-08-01 18:40:08,NHB250801184008.RAWLU8K,Long Range,0.0,2025-08-01 19:40:07,NHB250801194007.RAWLU9V,Long Range,1.0
51,2025-08-01 17:00:08,2025-08-01 17:00:08,NHB250801170008.RAWLU6F,Long Range,0.0,2025-08-01 18:00:09,NHB250801180009.RAWLU7R,Long Range,1.0,2025-08-01 19:00:08,NHB250801190008.RAWLU90,Long Range,0.0,2025-08-01 20:00:08,NHB250801200008.RAWLUA9,Long Range,0.0
52,2025-08-01 17:20:08,2025-08-01 17:20:08,NHB250801172008.RAWLU6W,Long Range,0.0,2025-08-01 18:20:07,NHB250801182007.RAWLU85,Long Range,1.0,2025-08-01 19:20:08,NHB250801192008.RAWLU9E,Long Range,0.0,2025-08-01 20:20:08,NHB250801202008.RAWLUAP,Long Range,0.0
53,2025-08-01 17:40:07,2025-08-01 17:40:07,NHB250801174007.RAWLU7A,Long Range,0.0,2025-08-01 18:40:08,NHB250801184008.RAWLU8K,Long Range,1.0,2025-08-01 19:40:07,NHB250801194007.RAWLU9V,Long Range,0.0,2025-08-01 20:40:08,NHB250801204008.RAWLUB4,Long Range,1.0
54,2025-08-01 18:00:09,2025-08-01 18:00:09,NHB250801180009.RAWLU7R,Long Range,0.0,2025-08-01 19:00:08,NHB250801190008.RAWLU90,Long Range,1.0,2025-08-01 20:00:08,NHB250801200008.RAWLUA9,Long Range,1.0,2025-08-01 21:00:07,NHB250801210007.RAWLUBJ,Long Range,2.0
55,2025-08-01 18:20:07,2025-08-01 18:20:07,NHB250801182007.RAWLU85,Long Range,0.0,2025-08-01 19:20:08,NHB250801192008.RAWLU9E,Long Range,1.0,2025-08-01 20:20:08,NHB250801202008.RAWLUAP,Long Range,1.0,2025-08-01 21:20:07,NHB250801212007.RAWLUBZ,Long Range,0.0
56,2025-08-01 18:40:08,2025-08-01 18:40:08,NHB250801184008.RAWLU8K,Long Range,0.0,2025-08-01 19:40:07,NHB250801194007.RAWLU9V,Long Range,1.0,2025-08-01 20:40:08,NHB250801204008.RAWLUB4,Long Range,0.0,2025-08-01 21:40:08,NHB250801214008.RAWLUCD,Long Range,0.0
57,2025-08-01 19:00:08,2025-08-01 19:00:08,NHB250801190008.RAWLU90,Long Range,0.0,2025-08-01 20:00:08,NHB250801200008.RAWLUA9,Long Range,0.0,2025-08-01 21:00:07,NHB250801210007.RAWLUBJ,Long Range,1.0,2025-08-01 22:00:07,NHB250801220007.RAWLUCU,Long Range,1.0
58,2025-08-01 19:20:08,2025-08-01 19:20:08,NHB250801192008.RAWLU9E,Long Range,0.0,2025-08-01 20:20:08,NHB250801202008.RAWLUAP,Long Range,0.0,2025-08-01 21:20:07,NHB250801212007.RAWLUBZ,Long Range,1.0,2025-08-01 22:20:08,NHB250801222008.RAWLUD8,Long Range,0.0
59,2025-08-01 19:40:07,2025-08-01 19:40:07,NHB250801194007.RAWLU9V,Long Range,0.0,2025-08-01 20:40:08,NHB250801204008.RAWLUB4,Long Range,1.0,2025-08-01 21:40:08,NHB250801214008.RAWLUCD,Long Range,1.0,2025-08-01 22:40:08,NHB250801224008.RAWLUDN,Long Range,1.0
60,2025-08-01 20:00:08,2025-08-01 20:00:08,NHB250801200008.RAWLUA9,Long Range,0.0,2025-08-01 21:00:07,NHB250801210007.RAWLUBJ,Long Range,1.0,2025-08-01 22:00:07,NHB250801220007.RAWLUCU,Long Range,1.0,2025-08-01 23:00:07,NHB250801230007.RAWLUE3,Long Range,1.0
61,2025-08-01 20:20:08,2025-08-01 20:20:08,NHB250801202008.RAWLUAP,Long Range,0.0,2025-08-01 21:20:07,NHB250801212007.RAWLUBZ,Long Range,1.0,2025-08-01 22:20:08,NHB250801222008.RAWLUD8,Long Range,0.0,2025-08-01 23:20:08,NHB250801232008.RAWLUEH,Long Range,0.0
62,2025-08-01 20:40:08,2025-08-01 20:40:08,NHB250801204008.RAWLUB4,Long Range,0.0,2025-08-01 21:40:08,NHB250801214008.RAWLUCD,Long Range,0.0,2025-08-01 22:40:08,NHB250801224008.RAWLUDN,Long Range,0.0,2025-08-01 23:40:07,NHB250801234007.RAWLUEY,Long Range,1.0
63,2025-08-01 21:00:07,2025-08-01 21:00:07,NHB250801210007.RAWLUBJ,Long Range,0.0,2025-08-01 22:00:07,NHB250801220007.RAWLUCU,Long Range,0.0,2025-08-01 23:00:07,NHB250801230007.RAWLUE3,Long Range,0.0,,,,424.0
64,2025-08-01 21:20:07,2025-08-01 21:20:07,NHB250801212007.RAWLUBZ,Long Range,0.0,2025-08-01 22:20:08,NHB250801222008.RAWLUD8,Long Range,1.0,2025-08-01 23:20:08,NHB250801232008.RAWLUEH,Long Range,1.0,,,,1624.0
65,2025-08-01 21:40:08,2025-08-01 21:40:08,NHB250801214008.RAWLUCD,Long Range,0.0,2025-08-01 22:40:08,NHB250801224008.RAWLUDN,Long Range,0.0,2025-08-01 23:40:07,NHB250801234007.RAWLUEY,Long Range,1.0,,,,2825.0
66,2025-08-01 22:00:07,2025-08-01 22:00:07,NHB250801220007.RAWLUCU,Long Range,0.0,2025-08-01 23:00:07,NHB250801230007.RAWLUE3,Long Range,0.0,,,,424.0,,,,4024.0
67,2025-08-01 22:20:08,2025-08-01 22:20:08,NHB250801222008.RAWLUD8,Long Range,0.0,2025-08-01 23:20:08,NHB250801232008.RAWLUEH,Long Range,0.0,,,,1625.0,,,,5225.0
68,2025-08-01 22:40:08,2025-08-01 22:40:08,NHB250801224008.RAWLUDN,Long Range,0.0,2025-08-01 23:40:07,NHB250801234007.RAWLUEY,Long Range,1.0,,,,2825.0,,,,6425.0
69,2025-08-01 23:00:07,2025-08-01 23:00:07,NHB250801230007.RAWLUE3,Long Range,0.0,,,,424.0,,,,4024.0,,,,7624.0
70,2025-08-01 23:20:08,2025-08-01 23:20:08,NHB250801232008.RAWLUEH,Long Range,0.0,,,,1625.0,,,,5225.0,,,,8825.0
71,2025-08-01 23:40:07,2025-08-01 23:40:07,NHB250801234007.RAWLUEY,Long Range,0.0,,,,2824.0,,,,6424.0,,,,10024.0
