group_id,input_time,file_t0,file_t3,file_t10,file_t13,target_0h_file,label_0h,dbz_0h,target_1h_file,label_1h,dbz_1h,target_2h_file,label_2h,dbz_2h,target_3h_file,label_3h,dbz_3h,target_0h,target_0h_mode,target_0h_diff_sec,target_1h,target_1h_mode,target_1h_diff_sec,target_2h,target_2h_mode,target_2h_diff_sec,target_3h,target_3h_mode,target_3h_diff_sec
10,2025-08-01 03:20:08,NHB250801032008.RAWLTN2,NHB250801032303.RAWLTN6,NHB250801033008.RAWLTN9,NHB250801033304.RAWLTND,NHB250801032008.RAWLTN2,Clear,28.59,NHB250801042008.RAWLTPB,Light rain,30.94,NHB250801052008.RAWLTRL,Light rain,31.52,NHB250801062008.RAWLTSW,Light rain,37.07,2025-08-01 03:20:08,Long Range,0.0,2025-08-01 04:20:08,Long Range,0.0,2025-08-01 05:20:08,Long Range,0.0,2025-08-01 06:20:08,Long Range,0.0
11,2025-08-01 03:40:07,NHB250801034007.RAWLTNG,NHB250801034303.RAWLTNL,NHB250801035007.RAWLTNP,NHB250801035305.RAWLTNU,NHB250801034007.RAWLTNG,Clear,28.18,NHB250801044008.RAWLTPS,Light rain,30.02,NHB250801054008.RAWLTS1,Light rain,34.66,NHB250801064008.RAWLTTA,Light rain,38.88,2025-08-01 03:40:07,Long Range,0.0,2025-08-01 04:40:08,Long Range,1.0,2025-08-01 05:40:08,Long Range,1.0,2025-08-01 06:40:08,Long Range,1.0
12,2025-08-01 04:00:08,NHB250801040008.RAWLTNX,NHB250801040304.RAWLTP1,NHB250801041007.RAWLTP4,NHB250801041303.RAWLTP8,NHB250801040008.RAWLTNX,Light rain,32.66,NHB250801050008.RAWLTR6,Clear,28.51,NHB250801060008.RAWLTSF,Light rain,33.02,NHB250801070008.RAWLTTR,Moderate rain,41.33,2025-08-01 04:00:08,Long Range,0.0,2025-08-01 05:00:08,Long Range,0.0,2025-08-01 06:00:08,Long Range,0.0,2025-08-01 07:00:08,Long Range,0.0
13,2025-08-01 04:20:08,NHB250801042008.RAWLTPB,NHB250801042304.RAWLTPF,NHB250801043008.RAWLTPJ,NHB250801043303.RAWLTPN,NHB250801042008.RAWLTPB,Light rain,30.94,NHB250801052008.RAWLTRL,Light rain,31.52,NHB250801062008.RAWLTSW,Light rain,37.07,NHB250801072008.RAWLTU5,Moderate rain,41.37,2025-08-01 04:20:08,Long Range,0.0,2025-08-01 05:20:08,Long Range,0.0,2025-08-01 06:20:08,Long Range,0.0,2025-08-01 07:20:08,Long Range,0.0
14,2025-08-01 04:40:08,NHB250801044008.RAWLTPS,NHB250801044304.RAWLTPW,NHB250801045008.RAWLTPZ,NHB250801045303.RAWLTR3,NHB250801044008.RAWLTPS,Light rain,30.02,NHB250801054008.RAWLTS1,Light rain,34.66,NHB250801064008.RAWLTTA,Light rain,38.88,NHB250801074008.RAWLTUK,Moderate rain,44.6,2025-08-01 04:40:08,Long Range,0.0,2025-08-01 05:40:08,Long Range,0.0,2025-08-01 06:40:08,Long Range,0.0,2025-08-01 07:40:08,Long Range,0.0
15,2025-08-01 05:00:08,NHB250801050008.RAWLTR6,NHB250801050303.RAWLTRA,NHB250801051007.RAWLTRD,NHB250801051303.RAWLTRH,NHB250801050008.RAWLTR6,Clear,28.51,NHB250801060008.RAWLTSF,Light rain,33.02,NHB250801070008.RAWLTTR,Moderate rain,41.33,NHB250801080008.RAWLTV0,Moderate rain,42.98,2025-08-01 05:00:08,Long Range,0.0,2025-08-01 06:00:08,Long Range,0.0,2025-08-01 07:00:08,Long Range,0.0,2025-08-01 08:00:08,Long Range,0.0
16,2025-08-01 05:20:08,NHB250801052008.RAWLTRL,NHB250801052303.RAWLTRR,NHB250801053008.RAWLTRU,NHB250801053303.RAWLTRY,NHB250801052008.RAWLTRL,Light rain,31.52,NHB250801062008.RAWLTSW,Light rain,37.07,NHB250801072008.RAWLTU5,Moderate rain,41.37,NHB250801082007.RAWLTVE,Moderate rain,42.44,2025-08-01 05:20:08,Long Range,0.0,2025-08-01 06:20:08,Long Range,0.0,2025-08-01 07:20:08,Long Range,0.0,2025-08-01 08:20:07,Long Range,1.0
17,2025-08-01 05:40:08,NHB250801054008.RAWLTS1,NHB250801054303.RAWLTS5,NHB250801055008.RAWLTS8,NHB250801055303.RAWLTSC,NHB250801054008.RAWLTS1,Light rain,34.66,NHB250801064008.RAWLTTA,Light rain,38.88,NHB250801074008.RAWLTUK,Moderate rain,44.6,NHB250801084008.RAWLTVV,Moderate rain,41.46,2025-08-01 05:40:08,Long Range,0.0,2025-08-01 06:40:08,Long Range,0.0,2025-08-01 07:40:08,Long Range,0.0,2025-08-01 08:40:08,Long Range,0.0
18,2025-08-01 06:00:08,NHB250801060008.RAWLTSF,NHB250801060303.RAWLTSK,NHB250801061008.RAWLTSN,NHB250801061303.RAWLTST,NHB250801060008.RAWLTSF,Light rain,33.02,NHB250801070008.RAWLTTR,Moderate rain,41.33,NHB250801080008.RAWLTV0,Moderate rain,42.98,NHB250801090007.RAWLTW9,Moderate rain,41.68,2025-08-01 06:00:08,Long Range,0.0,2025-08-01 07:00:08,Long Range,0.0,2025-08-01 08:00:08,Long Range,0.0,2025-08-01 09:00:07,Long Range,1.0
19,2025-08-01 06:20:08,NHB250801062008.RAWLTSW,NHB250801062303.RAWLTT0,NHB250801063007.RAWLTT3,NHB250801063304.RAWLTT7,NHB250801062008.RAWLTSW,Light rain,37.07,NHB250801072008.RAWLTU5,Moderate rain,41.37,NHB250801082007.RAWLTVE,Moderate rain,42.44,NHB250801092008.RAWLTWP,Moderate rain,40.03,2025-08-01 06:20:08,Long Range,0.0,2025-08-01 07:20:08,Long Range,0.0,2025-08-01 08:20:07,Long Range,1.0,2025-08-01 09:20:08,Long Range,0.0
20,2025-08-01 06:40:08,NHB250801064008.RAWLTTA,NHB250801064303.RAWLTTE,NHB250801065008.RAWLTTH,NHB250801065303.RAWLTTM,NHB250801064008.RAWLTTA,Light rain,38.88,NHB250801074008.RAWLTUK,Moderate rain,44.6,NHB250801084008.RAWLTVV,Moderate rain,41.46,NHB250801094007.RAWLTX4,Moderate rain,44.4,2025-08-01 06:40:08,Long Range,0.0,2025-08-01 07:40:08,Long Range,0.0,2025-08-01 08:40:08,Long Range,0.0,2025-08-01 09:40:07,Long Range,1.0
21,2025-08-01 07:00:08,NHB250801070008.RAWLTTR,NHB250801070304.RAWLTTV,NHB250801071007.RAWLTTY,NHB250801071303.RAWLTU2,NHB250801070008.RAWLTTR,Moderate rain,41.33,NHB250801080008.RAWLTV0,Moderate rain,42.98,NHB250801090007.RAWLTW9,Moderate rain,41.68,NHB250801100008.RAWLTXJ,Moderate rain,46.91,2025-08-01 07:00:08,Long Range,0.0,2025-08-01 08:00:08,Long Range,0.0,2025-08-01 09:00:07,Long Range,1.0,2025-08-01 10:00:08,Long Range,0.0
22,2025-08-01 07:20:08,NHB250801072008.RAWLTU5,NHB250801072303.RAWLTU9,NHB250801073008.RAWLTUC,NHB250801073303.RAWLTUG,NHB250801072008.RAWLTU5,Moderate rain,41.37,NHB250801082007.RAWLTVE,Moderate rain,42.44,NHB250801092008.RAWLTWP,Moderate rain,40.03,NHB250801102008.RAWLTXZ,Moderate rain,46.87,2025-08-01 07:20:08,Long Range,0.0,2025-08-01 08:20:07,Long Range,1.0,2025-08-01 09:20:08,Long Range,0.0,2025-08-01 10:20:08,Long Range,0.0
23,2025-08-01 07:40:08,NHB250801074008.RAWLTUK,NHB250801074304.RAWLTUP,NHB250801075008.RAWLTUT,NHB250801075304.RAWLTUX,NHB250801074008.RAWLTUK,Moderate rain,44.6,NHB250801084008.RAWLTVV,Moderate rain,41.46,NHB250801094007.RAWLTX4,Moderate rain,44.4,NHB250801104008.RAWLTYD,Heavy rain,49.14,2025-08-01 07:40:08,Long Range,0.0,2025-08-01 08:40:08,Long Range,0.0,2025-08-01 09:40:07,Long Range,1.0,2025-08-01 10:40:08,Long Range,0.0
24,2025-08-01 08:00:08,NHB250801080008.RAWLTV0,NHB250801080303.RAWLTV4,NHB250801081008.RAWLTV7,NHB250801081304.RAWLTVB,NHB250801080008.RAWLTV0,Moderate rain,42.98,NHB250801090007.RAWLTW9,Moderate rain,41.68,NHB250801100008.RAWLTXJ,Moderate rain,46.91,NHB250801110008.RAWLTYU,Moderate rain,47.36,2025-08-01 08:00:08,Long Range,0.0,2025-08-01 09:00:07,Long Range,1.0,2025-08-01 10:00:08,Long Range,0.0,2025-08-01 11:00:08,Long Range,0.0
25,2025-08-01 08:20:07,NHB250801082007.RAWLTVE,NHB250801082304.RAWLTVJ,NHB250801083008.RAWLTVM,NHB250801083304.RAWLTVS,NHB250801082007.RAWLTVE,Moderate rain,42.44,NHB250801092008.RAWLTWP,Moderate rain,40.03,NHB250801102008.RAWLTXZ,Moderate rain,46.87,NHB250801112008.RAWLTZ8,Moderate rain,44.93,2025-08-01 08:20:07,Long Range,0.0,2025-08-01 09:20:08,Long Range,1.0,2025-08-01 10:20:08,Long Range,1.0,2025-08-01 11:20:08,Long Range,1.0
26,2025-08-01 08:40:08,NHB250801084008.RAWLTVV,NHB250801084303.RAWLTVZ,NHB250801085008.RAWLTW2,NHB250801085303.RAWLTW6,NHB250801084008.RAWLTVV,Moderate rain,41.46,NHB250801094007.RAWLTX4,Moderate rain,44.4,NHB250801104008.RAWLTYD,Heavy rain,49.14,NHB250801114009.RAWLTZN,Moderate rain,40.86,2025-08-01 08:40:08,Long Range,0.0,2025-08-01 09:40:07,Long Range,1.0,2025-08-01 10:40:08,Long Range,0.0,2025-08-01 11:40:09,Long Range,1.0
27,2025-08-01 09:00:07,NHB250801090007.RAWLTW9,NHB250801090303.RAWLTWD,NHB250801091008.RAWLTWG,NHB250801091304.RAWLTWL,NHB250801090007.RAWLTW9,Moderate rain,41.68,NHB250801100008.RAWLTXJ,Moderate rain,46.91,NHB250801110008.RAWLTYU,Moderate rain,47.36,NHB250801120007.RAWLU03,Light rain,36.67,2025-08-01 09:00:07,Long Range,0.0,2025-08-01 10:00:08,Long Range,1.0,2025-08-01 11:00:08,Long Range,1.0,2025-08-01 12:00:07,Long Range,0.0
28,2025-08-01 09:20:08,NHB250801092008.RAWLTWP,NHB250801092303.RAWLTWU,NHB250801093008.RAWLTWX,NHB250801093303.RAWLTX1,NHB250801092008.RAWLTWP,Moderate rain,40.03,NHB250801102008.RAWLTXZ,Moderate rain,46.87,NHB250801112008.RAWLTZ8,Moderate rain,44.93,NHB250801122007.RAWLU0H,Light rain,34.48,2025-08-01 09:20:08,Long Range,0.0,2025-08-01 10:20:08,Long Range,0.0,2025-08-01 11:20:08,Long Range,0.0,2025-08-01 12:20:07,Long Range,1.0
29,2025-08-01 09:40:07,NHB250801094007.RAWLTX4,NHB250801094304.RAWLTX8,NHB250801095008.RAWLTXB,NHB250801095303.RAWLTXF,NHB250801094007.RAWLTX4,Moderate rain,44.4,NHB250801104008.RAWLTYD,Heavy rain,49.14,NHB250801114009.RAWLTZN,Moderate rain,40.86,NHB250801124008.RAWLU0Y,Light rain,33.21,2025-08-01 09:40:07,Long Range,0.0,2025-08-01 10:40:08,Long Range,1.0,2025-08-01 11:40:09,Long Range,2.0,2025-08-01 12:40:08,Long Range,1.0
30,2025-08-01 10:00:08,NHB250801100008.RAWLTXJ,NHB250801100304.RAWLTXN,NHB250801101008.RAWLTXS,NHB250801101304.RAWLTXW,NHB250801100008.RAWLTXJ,Moderate rain,46.91,NHB250801110008.RAWLTYU,Moderate rain,47.36,NHB250801120007.RAWLU03,Light rain,36.67,NHB250801130008.RAWLU1C,Light rain,33.73,2025-08-01 10:00:08,Long Range,0.0,2025-08-01 11:00:08,Long Range,0.0,2025-08-01 12:00:07,Long Range,1.0,2025-08-01 13:00:08,Long Range,0.0
31,2025-08-01 10:20:08,NHB250801102008.RAWLTXZ,NHB250801102303.RAWLTY3,NHB250801103008.RAWLTY6,NHB250801103305.RAWLTYA,NHB250801102008.RAWLTXZ,Moderate rain,46.87,NHB250801112008.RAWLTZ8,Moderate rain,44.93,NHB250801122007.RAWLU0H,Light rain,34.48,NHB250801132007.RAWLU1T,Light rain,32.76,2025-08-01 10:20:08,Long Range,0.0,2025-08-01 11:20:08,Long Range,0.0,2025-08-01 12:20:07,Long Range,1.0,2025-08-01 13:20:07,Long Range,1.0
32,2025-08-01 10:40:08,NHB250801104008.RAWLTYD,NHB250801104303.RAWLTYH,NHB250801105007.RAWLTYL,NHB250801105304.RAWLTYR,NHB250801104008.RAWLTYD,Heavy rain,49.14,NHB250801114009.RAWLTZN,Moderate rain,40.86,NHB250801124008.RAWLU0Y,Light rain,33.21,NHB250801134008.RAWLU27,Light rain,34.45,2025-08-01 10:40:08,Long Range,0.0,2025-08-01 11:40:09,Long Range,1.0,2025-08-01 12:40:08,Long Range,0.0,2025-08-01 13:40:08,Long Range,0.0
33,2025-08-01 11:00:08,NHB250801110008.RAWLTYU,NHB250801110304.RAWLTYY,NHB250801111007.RAWLTZ1,NHB250801111305.RAWLTZ5,NHB250801110008.RAWLTYU,Moderate rain,47.36,NHB250801120007.RAWLU03,Light rain,36.67,NHB250801130008.RAWLU1C,Light rain,33.73,NHB250801140008.RAWLU2M,Light rain,35.06,2025-08-01 11:00:08,Long Range,0.0,2025-08-01 12:00:07,Long Range,1.0,2025-08-01 13:00:08,Long Range,0.0,2025-08-01 14:00:08,Long Range,0.0
34,2025-08-01 11:20:08,NHB250801112008.RAWLTZ8,NHB250801112303.RAWLTZC,NHB250801113008.RAWLTZF,NHB250801113303.RAWLTZK,NHB250801112008.RAWLTZ8,Moderate rain,44.93,NHB250801122007.RAWLU0H,Light rain,34.48,NHB250801132007.RAWLU1T,Light rain,32.76,NHB250801142008.RAWLU32,Light rain,34.89,2025-08-01 11:20:08,Long Range,0.0,2025-08-01 12:20:07,Long Range,1.0,2025-08-01 13:20:07,Long Range,1.0,2025-08-01 14:20:08,Long Range,0.0
35,2025-08-01 11:40:09,NHB250801114009.RAWLTZN,NHB250801114304.RAWLTZT,NHB250801115008.RAWLTZW,NHB250801115304.RAWLU00,NHB250801114009.RAWLTZN,Moderate rain,40.86,NHB250801124008.RAWLU0Y,Light rain,33.21,NHB250801134008.RAWLU27,Light rain,34.45,NHB250801144008.RAWLU3G,Light rain,35.71,2025-08-01 11:40:09,Long Range,0.0,2025-08-01 12:40:08,Long Range,1.0,2025-08-01 13:40:08,Long Range,1.0,2025-08-01 14:40:08,Long Range,1.0
36,2025-08-01 12:00:07,NHB250801120007.RAWLU03,NHB250801120304.RAWLU07,NHB250801121008.RAWLU0A,NHB250801121304.RAWLU0E,NHB250801120007.RAWLU03,Light rain,36.67,NHB250801130008.RAWLU1C,Light rain,33.73,NHB250801140008.RAWLU2M,Light rain,35.06,NHB250801150007.RAWLU3X,Light rain,34.59,2025-08-01 12:00:07,Long Range,0.0,2025-08-01 13:00:08,Long Range,1.0,2025-08-01 14:00:08,Long Range,1.0,2025-08-01 15:00:07,Long Range,0.0
37,2025-08-01 12:20:07,NHB250801122007.RAWLU0H,NHB250801122303.RAWLU0M,NHB250801123008.RAWLU0R,NHB250801123304.RAWLU0V,NHB250801122007.RAWLU0H,Light rain,34.48,NHB250801132007.RAWLU1T,Light rain,32.76,NHB250801142008.RAWLU32,Light rain,34.89,NHB250801152008.RAWLU4B,Light rain,34.11,2025-08-01 12:20:07,Long Range,0.0,2025-08-01 13:20:07,Long Range,0.0,2025-08-01 14:20:08,Long Range,1.0,2025-08-01 15:20:08,Long Range,1.0
38,2025-08-01 12:40:08,NHB250801124008.RAWLU0Y,NHB250801124304.RAWLU12,NHB250801125009.RAWLU15,NHB250801125304.RAWLU19,NHB250801124008.RAWLU0Y,Light rain,33.21,NHB250801134008.RAWLU27,Light rain,34.45,NHB250801144008.RAWLU3G,Light rain,35.71,NHB250801154008.RAWLU4S,Light rain,32.58,2025-08-01 12:40:08,Long Range,0.0,2025-08-01 13:40:08,Long Range,0.0,2025-08-01 14:40:08,Long Range,0.0,2025-08-01 15:40:08,Long Range,0.0
39,2025-08-01 13:00:08,NHB250801130008.RAWLU1C,NHB250801130303.RAWLU1G,NHB250801131008.RAWLU1K,NHB250801131304.RAWLU1P,NHB250801130008.RAWLU1C,Light rain,33.73,NHB250801140008.RAWLU2M,Light rain,35.06,NHB250801150007.RAWLU3X,Light rain,34.59,NHB250801160008.RAWLU56,Light rain,32.29,2025-08-01 13:00:08,Long Range,0.0,2025-08-01 14:00:08,Long Range,0.0,2025-08-01 15:00:07,Long Range,1.0,2025-08-01 16:00:08,Long Range,0.0
40,2025-08-01 13:20:07,NHB250801132007.RAWLU1T,NHB250801132304.RAWLU1X,NHB250801133008.RAWLU20,NHB250801133303.RAWLU24,NHB250801132007.RAWLU1T,Light rain,32.76,NHB250801142008.RAWLU32,Light rain,34.89,NHB250801152008.RAWLU4B,Light rain,34.11,NHB250801162007.RAWLU5L,Light rain,32.73,2025-08-01 13:20:07,Long Range,0.0,2025-08-01 14:20:08,Long Range,1.0,2025-08-01 15:20:08,Long Range,1.0,2025-08-01 16:20:07,Long Range,0.0
41,2025-08-01 13:40:08,NHB250801134008.RAWLU27,NHB250801134303.RAWLU2B,NHB250801135008.RAWLU2E,NHB250801135303.RAWLU2J,NHB250801134008.RAWLU27,Light rain,34.45,NHB250801144008.RAWLU3G,Light rain,35.71,NHB250801154008.RAWLU4S,Light rain,32.58,NHB250801164008.RAWLU61,Light rain,30.76,2025-08-01 13:40:08,Long Range,0.0,2025-08-01 14:40:08,Long Range,0.0,2025-08-01 15:40:08,Long Range,0.0,2025-08-01 16:40:08,Long Range,0.0
42,2025-08-01 14:00:08,NHB250801140008.RAWLU2M,NHB250801140303.RAWLU2S,NHB250801141008.RAWLU2V,NHB250801141303.RAWLU2Z,NHB250801140008.RAWLU2M,Light rain,35.06,NHB250801150007.RAWLU3X,Light rain,34.59,NHB250801160008.RAWLU56,Light rain,32.29,NHB250801170008.RAWLU6F,Clear,29.12,2025-08-01 14:00:08,Long Range,0.0,2025-08-01 15:00:07,Long Range,1.0,2025-08-01 16:00:08,Long Range,0.0,2025-08-01 17:00:08,Long Range,0.0
43,2025-08-01 14:20:08,NHB250801142008.RAWLU32,NHB250801142304.RAWLU36,NHB250801143007.RAWLU39,NHB250801143304.RAWLU3D,NHB250801142008.RAWLU32,Light rain,34.89,NHB250801152008.RAWLU4B,Light rain,34.11,NHB250801162007.RAWLU5L,Light rain,32.73,NHB250801172008.RAWLU6W,Clear,27.52,2025-08-01 14:20:08,Long Range,0.0,2025-08-01 15:20:08,Long Range,0.0,2025-08-01 16:20:07,Long Range,1.0,2025-08-01 17:20:08,Long Range,0.0
44,2025-08-01 14:40:08,NHB250801144008.RAWLU3G,NHB250801144303.RAWLU3L,NHB250801145007.RAWLU3P,NHB250801145303.RAWLU3U,NHB250801144008.RAWLU3G,Light rain,35.71,NHB250801154008.RAWLU4S,Light rain,32.58,NHB250801164008.RAWLU61,Light rain,30.76,NHB250801174007.RAWLU7A,Clear,25.32,2025-08-01 14:40:08,Long Range,0.0,2025-08-01 15:40:08,Long Range,0.0,2025-08-01 16:40:08,Long Range,0.0,2025-08-01 17:40:07,Long Range,1.0
45,2025-08-01 15:00:07,NHB250801150007.RAWLU3X,NHB250801150303.RAWLU41,NHB250801151008.RAWLU44,NHB250801151304.RAWLU48,NHB250801150007.RAWLU3X,Light rain,34.59,NHB250801160008.RAWLU56,Light rain,32.29,NHB250801170008.RAWLU6F,Clear,29.12,NHB250801180009.RAWLU7R,Clear,26.03,2025-08-01 15:00:07,Long Range,0.0,2025-08-01 16:00:08,Long Range,1.0,2025-08-01 17:00:08,Long Range,1.0,2025-08-01 18:00:09,Long Range,2.0
46,2025-08-01 15:20:08,NHB250801152008.RAWLU4B,NHB250801152303.RAWLU4F,NHB250801153008.RAWLU4J,NHB250801153304.RAWLU4N,NHB250801152008.RAWLU4B,Light rain,34.11,NHB250801162007.RAWLU5L,Light rain,32.73,NHB250801172008.RAWLU6W,Clear,27.52,NHB250801182007.RAWLU85,Clear,24.05,2025-08-01 15:20:08,Long Range,0.0,2025-08-01 16:20:07,Long Range,1.0,2025-08-01 17:20:08,Long Range,0.0,2025-08-01 18:20:07,Long Range,1.0
47,2025-08-01 15:40:08,NHB250801154008.RAWLU4S,NHB250801154303.RAWLU4W,NHB250801155007.RAWLU4Z,NHB250801155305.RAWLU53,NHB250801154008.RAWLU4S,Light rain,32.58,NHB250801164008.RAWLU61,Light rain,30.76,NHB250801174007.RAWLU7A,Clear,25.32,NHB250801184008.RAWLU8K,Clear,24.04,2025-08-01 15:40:08,Long Range,0.0,2025-08-01 16:40:08,Long Range,0.0,2025-08-01 17:40:07,Long Range,1.0,2025-08-01 18:40:08,Long Range,0.0
48,2025-08-01 16:00:08,NHB250801160008.RAWLU56,NHB250801160304.RAWLU5A,NHB250801161008.RAWLU5D,NHB250801161303.RAWLU5H,NHB250801160008.RAWLU56,Light rain,32.29,NHB250801170008.RAWLU6F,Clear,29.12,NHB250801180009.RAWLU7R,Clear,26.03,NHB250801190008.RAWLU90,Clear,23.47,2025-08-01 16:00:08,Long Range,0.0,2025-08-01 17:00:08,Long Range,0.0,2025-08-01 18:00:09,Long Range,1.0,2025-08-01 19:00:08,Long Range,0.0
49,2025-08-01 16:20:07,NHB250801162007.RAWLU5L,NHB250801162303.RAWLU5R,NHB250801163007.RAWLU5U,NHB250801163305.RAWLU5Y,NHB250801162007.RAWLU5L,Light rain,32.73,NHB250801172008.RAWLU6W,Clear,27.52,NHB250801182007.RAWLU85,Clear,24.05,NHB250801192008.RAWLU9E,Clear,25.29,2025-08-01 16:20:07,Long Range,0.0,2025-08-01 17:20:08,Long Range,1.0,2025-08-01 18:20:07,Long Range,0.0,2025-08-01 19:20:08,Long Range,1.0
