filename,timestamp,mode,nsweeps,weighted_dbz,weather_class
NHB250801054008.RAWLTS1,2025-08-01 05:40:08,Long Range,4,34.66,Light rain
NHB250801054303.RAWLTS5,2025-08-01 05:43:03,Short Range,8,35.63,Light rain
NHB250801055008.RAWLTS8,2025-08-01 05:50:08,Long Range,4,32.99,Light rain
NHB250801055303.RAWLTSC,2025-08-01 05:53:03,Short Range,8,34.7,Light rain
NHB250801060008.RAWLTSF,2025-08-01 06:00:08,Long Range,4,33.02,Light rain
NHB250801060303.RAWLTSK,2025-08-01 06:03:03,Short Range,8,34.89,Light rain
NHB250801061008.RAWLTSN,2025-08-01 06:10:08,Long Range,4,33.4,Light rain
NHB250801061303.RAWLTST,2025-08-01 06:13:03,Short Range,8,37.04,Light rain
NHB250801062008.RAWLTSW,2025-08-01 06:20:08,Long Range,4,37.07,Light rain
NHB250801062303.RAWLTT0,2025-08-01 06:23:03,Short Range,8,39.47,Light rain
NHB250801063007.RAWLTT3,2025-08-01 06:30:07,Long Range,4,37.95,Light rain
NHB250801063304.RAWLTT7,2025-08-01 06:33:04,Short Range,8,41.08,Moderate rain
NHB250801064008.RAWLTTA,2025-08-01 06:40:08,Long Range,4,38.88,Light rain
NHB250801064303.RAWLTTE,2025-08-01 06:43:03,Short Range,8,41.9,Moderate rain
NHB250801065008.RAWLTTH,2025-08-01 06:50:08,Long Range,4,41.81,Moderate rain
NHB250801065303.RAWLTTM,2025-08-01 06:53:03,Short Range,8,43.5,Moderate rain
NHB250801070008.RAWLTTR,2025-08-01 07:00:08,Long Range,4,41.33,Moderate rain
NHB250801070304.RAWLTTV,2025-08-01 07:03:04,Short Range,8,42.83,Moderate rain
NHB250801071007.RAWLTTY,2025-08-01 07:10:07,Long Range,4,42.01,Moderate rain
NHB250801071303.RAWLTU2,2025-08-01 07:13:03,Short Range,8,43.77,Moderate rain
NHB250801072008.RAWLTU5,2025-08-01 07:20:08,Long Range,4,41.37,Moderate rain
NHB250801072303.RAWLTU9,2025-08-01 07:23:03,Short Range,8,41.18,Moderate rain
NHB250801073008.RAWLTUC,2025-08-01 07:30:08,Long Range,4,41.63,Moderate rain
NHB250801073303.RAWLTUG,2025-08-01 07:33:03,Short Range,8,45.19,Moderate rain
NHB250801074008.RAWLTUK,2025-08-01 07:40:08,Long Range,4,44.6,Moderate rain
NHB250801074304.RAWLTUP,2025-08-01 07:43:04,Short Range,8,44.65,Moderate rain
NHB250801075008.RAWLTUT,2025-08-01 07:50:08,Long Range,4,43.17,Moderate rain
NHB250801075304.RAWLTUX,2025-08-01 07:53:04,Short Range,8,42.92,Moderate rain
NHB250801080008.RAWLTV0,2025-08-01 08:00:08,Long Range,4,42.98,Moderate rain
NHB250801080303.RAWLTV4,2025-08-01 08:03:03,Short Range,8,42.54,Moderate rain
NHB250801081008.RAWLTV7,2025-08-01 08:10:08,Long Range,4,41.88,Moderate rain
NHB250801081304.RAWLTVB,2025-08-01 08:13:04,Short Range,8,41.76,Moderate rain
NHB250801082007.RAWLTVE,2025-08-01 08:20:07,Long Range,4,42.44,Moderate rain
NHB250801082304.RAWLTVJ,2025-08-01 08:23:04,Short Range,8,40.68,Moderate rain
NHB250801083008.RAWLTVM,2025-08-01 08:30:08,Long Range,4,40.18,Moderate rain
NHB250801083304.RAWLTVS,2025-08-01 08:33:04,Short Range,8,38.8,Light rain
NHB250801084008.RAWLTVV,2025-08-01 08:40:08,Long Range,4,41.46,Moderate rain
NHB250801084303.RAWLTVZ,2025-08-01 08:43:03,Short Range,8,39.56,Light rain
NHB250801085008.RAWLTW2,2025-08-01 08:50:08,Long Range,4,42.04,Moderate rain
NHB250801085303.RAWLTW6,2025-08-01 08:53:03,Short Range,8,38.4,Light rain
NHB250801090007.RAWLTW9,2025-08-01 09:00:07,Long Range,4,41.68,Moderate rain
NHB250801090303.RAWLTWD,2025-08-01 09:03:03,Short Range,8,38.6,Light rain
NHB250801091008.RAWLTWG,2025-08-01 09:10:08,Long Range,4,40.21,Moderate rain
NHB250801091304.RAWLTWL,2025-08-01 09:13:04,Short Range,8,37.22,Light rain
NHB250801092008.RAWLTWP,2025-08-01 09:20:08,Long Range,4,40.03,Moderate rain
NHB250801092303.RAWLTWU,2025-08-01 09:23:03,Short Range,8,37.87,Light rain
NHB250801093008.RAWLTWX,2025-08-01 09:30:08,Long Range,4,42.93,Moderate rain
NHB250801093303.RAWLTX1,2025-08-01 09:33:03,Short Range,8,40.84,Moderate rain
NHB250801094007.RAWLTX4,2025-08-01 09:40:07,Long Range,4,44.4,Moderate rain
NHB250801094304.RAWLTX8,2025-08-01 09:43:04,Short Range,8,42.8,Moderate rain
NHB250801095008.RAWLTXB,2025-08-01 09:50:08,Long Range,4,45.63,Moderate rain
NHB250801095303.RAWLTXF,2025-08-01 09:53:03,Short Range,8,45.12,Moderate rain
NHB250801100008.RAWLTXJ,2025-08-01 10:00:08,Long Range,4,46.91,Moderate rain
NHB250801100304.RAWLTXN,2025-08-01 10:03:04,Short Range,8,45.88,Moderate rain
NHB250801101008.RAWLTXS,2025-08-01 10:10:08,Long Range,4,47.16,Moderate rain
NHB250801101304.RAWLTXW,2025-08-01 10:13:04,Short Range,8,46.79,Moderate rain
NHB250801102008.RAWLTXZ,2025-08-01 10:20:08,Long Range,4,46.87,Moderate rain
NHB250801102303.RAWLTY3,2025-08-01 10:23:03,Short Range,8,47.95,Heavy rain
NHB250801103008.RAWLTY6,2025-08-01 10:30:08,Long Range,4,48.55,Heavy rain
NHB250801103305.RAWLTYA,2025-08-01 10:33:05,Short Range,8,48.71,Heavy rain
NHB250801104008.RAWLTYD,2025-08-01 10:40:08,Long Range,4,49.14,Heavy rain
NHB250801104303.RAWLTYH,2025-08-01 10:43:03,Short Range,8,47.8,Heavy rain
NHB250801105007.RAWLTYL,2025-08-01 10:50:07,Long Range,4,47.37,Moderate rain
NHB250801105304.RAWLTYR,2025-08-01 10:53:04,Short Range,8,46.7,Moderate rain
NHB250801110008.RAWLTYU,2025-08-01 11:00:08,Long Range,4,47.36,Moderate rain
NHB250801110304.RAWLTYY,2025-08-01 11:03:04,Short Range,8,44.3,Moderate rain
NHB250801111007.RAWLTZ1,2025-08-01 11:10:07,Long Range,4,45.49,Moderate rain
NHB250801111305.RAWLTZ5,2025-08-01 11:13:05,Short Range,8,39.71,Light rain
NHB250801112008.RAWLTZ8,2025-08-01 11:20:08,Long Range,4,44.93,Moderate rain
NHB250801112303.RAWLTZC,2025-08-01 11:23:03,Short Range,8,37.77,Light rain
NHB250801113008.RAWLTZF,2025-08-01 11:30:08,Long Range,4,44.05,Moderate rain
NHB250801113303.RAWLTZK,2025-08-01 11:33:03,Short Range,8,36.63,Light rain
NHB250801114009.RAWLTZN,2025-08-01 11:40:09,Long Range,4,40.86,Moderate rain
NHB250801114304.RAWLTZT,2025-08-01 11:43:04,Short Range,8,35.29,Light rain
NHB250801115008.RAWLTZW,2025-08-01 11:50:08,Long Range,4,37.2,Light rain
NHB250801115304.RAWLU00,2025-08-01 11:53:04,Short Range,8,35.05,Light rain
NHB250801120007.RAWLU03,2025-08-01 12:00:07,Long Range,4,36.67,Light rain
NHB250801120304.RAWLU07,2025-08-01 12:03:04,Short Range,8,35.47,Light rain
NHB250801121008.RAWLU0A,2025-08-01 12:10:08,Long Range,4,35.44,Light rain
NHB250801121304.RAWLU0E,2025-08-01 12:13:04,Short Range,8,35.32,Light rain
NHB250801122007.RAWLU0H,2025-08-01 12:20:07,Long Range,4,34.48,Light rain
NHB250801122303.RAWLU0M,2025-08-01 12:23:03,Short Range,8,34.03,Light rain
NHB250801123008.RAWLU0R,2025-08-01 12:30:08,Long Range,4,34.29,Light rain
NHB250801123304.RAWLU0V,2025-08-01 12:33:04,Short Range,8,33.33,Light rain
NHB250801124008.RAWLU0Y,2025-08-01 12:40:08,Long Range,4,33.21,Light rain
NHB250801124304.RAWLU12,2025-08-01 12:43:04,Short Range,8,32.83,Light rain
NHB250801125009.RAWLU15,2025-08-01 12:50:09,Long Range,4,33.51,Light rain
NHB250801125304.RAWLU19,2025-08-01 12:53:04,Short Range,8,32.37,Light rain
NHB250801130008.RAWLU1C,2025-08-01 13:00:08,Long Range,4,33.73,Light rain
NHB250801130303.RAWLU1G,2025-08-01 13:03:03,Short Range,8,31.74,Light rain
NHB250801131008.RAWLU1K,2025-08-01 13:10:08,Long Range,4,33.46,Light rain
NHB250801131304.RAWLU1P,2025-08-01 13:13:04,Short Range,8,31.74,Light rain
NHB250801132007.RAWLU1T,2025-08-01 13:20:07,Long Range,4,32.76,Light rain
NHB250801132304.RAWLU1X,2025-08-01 13:23:04,Short Range,8,31.36,Light rain
NHB250801133008.RAWLU20,2025-08-01 13:30:08,Long Range,4,33.82,Light rain
NHB250801133303.RAWLU24,2025-08-01 13:33:03,Short Range,8,32.93,Light rain
NHB250801134008.RAWLU27,2025-08-01 13:40:08,Long Range,4,34.45,Light rain
NHB250801134303.RAWLU2B,2025-08-01 13:43:03,Short Range,8,32.7,Light rain
NHB250801135008.RAWLU2E,2025-08-01 13:50:08,Long Range,4,35.11,Light rain
NHB250801135303.RAWLU2J,2025-08-01 13:53:03,Short Range,8,30.95,Light rain
NHB250801140008.RAWLU2M,2025-08-01 14:00:08,Long Range,4,35.06,Light rain
NHB250801140303.RAWLU2S,2025-08-01 14:03:03,Short Range,8,28.18,Clear
NHB250801141008.RAWLU2V,2025-08-01 14:10:08,Long Range,4,35.07,Light rain
NHB250801141303.RAWLU2Z,2025-08-01 14:13:03,Short Range,8,25.61,Clear
NHB250801142008.RAWLU32,2025-08-01 14:20:08,Long Range,4,34.89,Light rain
NHB250801142304.RAWLU36,2025-08-01 14:23:04,Short Range,8,25.24,Clear
NHB250801143007.RAWLU39,2025-08-01 14:30:07,Long Range,4,34.96,Light rain
NHB250801143304.RAWLU3D,2025-08-01 14:33:04,Short Range,8,25.67,Clear
NHB250801144008.RAWLU3G,2025-08-01 14:40:08,Long Range,4,35.71,Light rain
NHB250801144303.RAWLU3L,2025-08-01 14:43:03,Short Range,8,25.96,Clear
NHB250801145007.RAWLU3P,2025-08-01 14:50:07,Long Range,4,35.38,Light rain
NHB250801145303.RAWLU3U,2025-08-01 14:53:03,Short Range,8,27.58,Clear
NHB250801150007.RAWLU3X,2025-08-01 15:00:07,Long Range,4,34.59,Light rain
NHB250801150303.RAWLU41,2025-08-01 15:03:03,Short Range,8,26.27,Clear
NHB250801151008.RAWLU44,2025-08-01 15:10:08,Long Range,4,34.79,Light rain
NHB250801151304.RAWLU48,2025-08-01 15:13:04,Short Range,8,25.84,Clear
NHB250801152008.RAWLU4B,2025-08-01 15:20:08,Long Range,4,34.11,Light rain
NHB250801152303.RAWLU4F,2025-08-01 15:23:03,Short Range,8,24.97,Clear
NHB250801153008.RAWLU4J,2025-08-01 15:30:08,Long Range,4,32.9,Light rain
NHB250801153304.RAWLU4N,2025-08-01 15:33:04,Short Range,8,24.78,Clear
NHB250801154008.RAWLU4S,2025-08-01 15:40:08,Long Range,4,32.58,Light rain
NHB250801154303.RAWLU4W,2025-08-01 15:43:03,Short Range,8,23.82,Clear
NHB250801155007.RAWLU4Z,2025-08-01 15:50:07,Long Range,4,32.51,Light rain
NHB250801155305.RAWLU53,2025-08-01 15:53:05,Short Range,8,23.81,Clear
NHB250801160008.RAWLU56,2025-08-01 16:00:08,Long Range,4,32.29,Light rain
NHB250801160304.RAWLU5A,2025-08-01 16:03:04,Short Range,8,22.39,Clear
NHB250801161008.RAWLU5D,2025-08-01 16:10:08,Long Range,4,32.95,Light rain
NHB250801161303.RAWLU5H,2025-08-01 16:13:03,Short Range,8,23.18,Clear
NHB250801162007.RAWLU5L,2025-08-01 16:20:07,Long Range,4,32.73,Light rain
NHB250801162303.RAWLU5R,2025-08-01 16:23:03,Short Range,8,21.66,Clear
NHB250801163007.RAWLU5U,2025-08-01 16:30:07,Long Range,4,30.41,Light rain
NHB250801163305.RAWLU5Y,2025-08-01 16:33:05,Short Range,8,22.0,Clear
NHB250801164008.RAWLU61,2025-08-01 16:40:08,Long Range,4,30.76,Light rain
NHB250801164303.RAWLU65,2025-08-01 16:43:03,Short Range,8,22.2,Clear
NHB250801165009.RAWLU68,2025-08-01 16:50:09,Long Range,4,30.57,Light rain
NHB250801165303.RAWLU6C,2025-08-01 16:53:03,Short Range,8,22.41,Clear
NHB250801170008.RAWLU6F,2025-08-01 17:00:08,Long Range,4,29.12,Clear
NHB250801170304.RAWLU6K,2025-08-01 17:03:04,Short Range,8,23.41,Clear
NHB250801171008.RAWLU6N,2025-08-01 17:10:08,Long Range,4,27.39,Clear
NHB250801171303.RAWLU6T,2025-08-01 17:13:03,Short Range,8,22.53,Clear
NHB250801172008.RAWLU6W,2025-08-01 17:20:08,Long Range,4,27.52,Clear
NHB250801172303.RAWLU70,2025-08-01 17:23:03,Short Range,8,22.51,Clear
NHB250801173007.RAWLU73,2025-08-01 17:30:07,Long Range,4,24.81,Clear
NHB250801173303.RAWLU77,2025-08-01 17:33:03,Short Range,8,21.85,Clear
NHB250801174007.RAWLU7A,2025-08-01 17:40:07,Long Range,4,25.32,Clear
NHB250801174303.RAWLU7E,2025-08-01 17:43:03,Short Range,8,21.52,Clear
NHB250801175008.RAWLU7H,2025-08-01 17:50:08,Long Range,4,24.54,Clear
NHB250801175304.RAWLU7M,2025-08-01 17:53:04,Short Range,8,21.35,Clear
NHB250801180009.RAWLU7R,2025-08-01 18:00:09,Long Range,4,26.03,Clear
NHB250801180303.RAWLU7V,2025-08-01 18:03:03,Short Range,8,21.01,Clear
NHB250801181008.RAWLU7Y,2025-08-01 18:10:08,Long Range,4,22.69,Clear
NHB250801181303.RAWLU82,2025-08-01 18:13:03,Short Range,8,21.6,Clear
NHB250801182007.RAWLU85,2025-08-01 18:20:07,Long Range,4,24.05,Clear
NHB250801182303.RAWLU89,2025-08-01 18:23:03,Short Range,8,21.54,Clear
NHB250801183008.RAWLU8C,2025-08-01 18:30:08,Long Range,4,25.5,Clear
NHB250801183303.RAWLU8G,2025-08-01 18:33:03,Short Range,8,20.94,Clear
NHB250801184008.RAWLU8K,2025-08-01 18:40:08,Long Range,4,24.04,Clear
NHB250801184304.RAWLU8P,2025-08-01 18:43:04,Short Range,8,21.1,Clear
NHB250801185008.RAWLU8T,2025-08-01 18:50:08,Long Range,4,24.56,Clear
NHB250801185304.RAWLU8X,2025-08-01 18:53:04,Short Range,8,21.32,Clear
NHB250801190008.RAWLU90,2025-08-01 19:00:08,Long Range,4,23.47,Clear
NHB250801190304.RAWLU94,2025-08-01 19:03:04,Short Range,8,20.67,Clear
NHB250801191008.RAWLU97,2025-08-01 19:10:08,Long Range,4,25.08,Clear
NHB250801191303.RAWLU9B,2025-08-01 19:13:03,Short Range,8,21.1,Clear
NHB250801192008.RAWLU9E,2025-08-01 19:20:08,Long Range,4,25.29,Clear
NHB250801192303.RAWLU9J,2025-08-01 19:23:03,Short Range,8,21.3,Clear
NHB250801193007.RAWLU9M,2025-08-01 19:30:07,Long Range,4,25.56,Clear
NHB250801193303.RAWLU9S,2025-08-01 19:33:03,Short Range,8,21.6,Clear
NHB250801194007.RAWLU9V,2025-08-01 19:40:07,Long Range,4,26.33,Clear
NHB250801194304.RAWLU9Z,2025-08-01 19:43:04,Short Range,8,22.31,Clear
NHB250801195008.RAWLUA2,2025-08-01 19:50:08,Long Range,4,28.36,Clear
NHB250801195305.RAWLUA6,2025-08-01 19:53:05,Short Range,8,23.03,Clear
NHB250801200008.RAWLUA9,2025-08-01 20:00:08,Long Range,4,27.26,Clear
NHB250801200303.RAWLUAD,2025-08-01 20:03:03,Short Range,8,22.91,Clear
NHB250801201008.RAWLUAG,2025-08-01 20:10:08,Long Range,4,28.56,Clear
NHB250801201304.RAWLUAL,2025-08-01 20:13:04,Short Range,8,23.45,Clear
NHB250801202008.RAWLUAP,2025-08-01 20:20:08,Long Range,4,28.34,Clear
NHB250801202303.RAWLUAU,2025-08-01 20:23:03,Short Range,8,24.78,Clear
NHB250801203008.RAWLUAX,2025-08-01 20:30:08,Long Range,4,29.09,Clear
NHB250801203303.RAWLUB1,2025-08-01 20:33:03,Short Range,8,25.3,Clear
NHB250801204008.RAWLUB4,2025-08-01 20:40:08,Long Range,4,28.64,Clear
NHB250801204304.RAWLUB8,2025-08-01 20:43:04,Short Range,8,24.47,Clear
NHB250801205007.RAWLUBB,2025-08-01 20:50:07,Long Range,4,27.56,Clear
NHB250801205304.RAWLUBF,2025-08-01 20:53:04,Short Range,8,25.37,Clear
NHB250801210007.RAWLUBJ,2025-08-01 21:00:07,Long Range,4,27.78,Clear
NHB250801210303.RAWLUBN,2025-08-01 21:03:03,Short Range,8,25.91,Clear
NHB250801211008.RAWLUBS,2025-08-01 21:10:08,Long Range,4,27.77,Clear
NHB250801211303.RAWLUBW,2025-08-01 21:13:03,Short Range,8,23.64,Clear
NHB250801212007.RAWLUBZ,2025-08-01 21:20:07,Long Range,4,26.26,Clear
NHB250801212303.RAWLUC3,2025-08-01 21:23:03,Short Range,8,24.63,Clear
NHB250801213008.RAWLUC6,2025-08-01 21:30:08,Long Range,4,25.99,Clear
NHB250801213304.RAWLUCA,2025-08-01 21:33:04,Short Range,8,24.68,Clear
NHB250801214008.RAWLUCD,2025-08-01 21:40:08,Long Range,4,26.94,Clear
NHB250801214303.RAWLUCH,2025-08-01 21:43:03,Short Range,8,25.18,Clear
NHB250801215008.RAWLUCL,2025-08-01 21:50:08,Long Range,4,26.95,Clear
NHB250801215303.RAWLUCR,2025-08-01 21:53:03,Short Range,8,25.7,Clear
NHB250801220007.RAWLUCU,2025-08-01 22:00:07,Long Range,4,27.31,Clear
NHB250801220304.RAWLUCY,2025-08-01 22:03:04,Short Range,8,26.67,Clear
NHB250801221008.RAWLUD1,2025-08-01 22:10:08,Long Range,4,29.33,Clear
NHB250801221304.RAWLUD5,2025-08-01 22:13:04,Short Range,8,28.74,Clear
NHB250801222008.RAWLUD8,2025-08-01 22:20:08,Long Range,4,28.17,Clear
NHB250801222304.RAWLUDC,2025-08-01 22:23:04,Short Range,8,27.37,Clear
NHB250801223007.RAWLUDF,2025-08-01 22:30:07,Long Range,4,29.64,Clear
NHB250801223304.RAWLUDK,2025-08-01 22:33:04,Short Range,8,28.33,Clear
NHB250801224008.RAWLUDN,2025-08-01 22:40:08,Long Range,4,29.89,Clear
NHB250801224303.RAWLUDT,2025-08-01 22:43:03,Short Range,8,27.38,Clear
NHB250801225007.RAWLUDW,2025-08-01 22:50:07,Long Range,4,29.13,Clear
NHB250801225304.RAWLUE0,2025-08-01 22:53:04,Short Range,8,26.37,Clear
NHB250801230007.RAWLUE3,2025-08-01 23:00:07,Long Range,4,30.15,Light rain
NHB250801230303.RAWLUE7,2025-08-01 23:03:03,Short Range,8,26.58,Clear
NHB250801231007.RAWLUEA,2025-08-01 23:10:07,Long Range,4,28.99,Clear
NHB250801231304.RAWLUEE,2025-08-01 23:13:04,Short Range,8,26.82,Clear
NHB250801232008.RAWLUEH,2025-08-01 23:20:08,Long Range,4,27.37,Clear
NHB250801232303.RAWLUEM,2025-08-01 23:23:03,Short Range,8,25.13,Clear
NHB250801233008.RAWLUER,2025-08-01 23:30:08,Long Range,4,26.9,Clear
NHB250801233305.RAWLUEV,2025-08-01 23:33:05,Short Range,8,24.82,Clear
NHB250801234007.RAWLUEY,2025-08-01 23:40:07,Long Range,4,26.92,Clear
NHB250801234304.RAWLUF2,2025-08-01 23:43:04,Short Range,8,25.84,Clear
NHB250801235008.RAWLUF5,2025-08-01 23:50:08,Long Range,4,26.37,Clear
NHB250801235303.RAWLUF9,2025-08-01 23:53:03,Short Range,8,26.05,Clear
NHB250802000008.RAWLUFC,2025-08-02 00:00:08,Long Range,4,27.48,Clear
NHB250802000303.RAWLUFG,2025-08-02 00:03:03,Short Range,8,25.55,Clear
NHB250802001007.RAWLUFK,2025-08-02 00:10:07,Long Range,4,28.79,Clear
NHB250802001303.RAWLUFP,2025-08-02 00:13:03,Short Range,8,26.48,Clear
NHB250802002007.RAWLUFT,2025-08-02 00:20:07,Long Range,4,28.28,Clear
NHB250802002304.RAWLUFX,2025-08-02 00:23:04,Short Range,8,26.82,Clear
NHB250802003009.RAWLUG0,2025-08-02 00:30:09,Long Range,4,28.25,Clear
NHB250802003303.RAWLUG4,2025-08-02 00:33:03,Short Range,8,28.28,Clear
NHB250802004008.RAWLUG7,2025-08-02 00:40:08,Long Range,4,29.03,Clear
NHB250802004304.RAWLUGB,2025-08-02 00:43:04,Short Range,8,28.43,Clear
NHB250802005007.RAWLUGE,2025-08-02 00:50:07,Long Range,4,29.35,Clear
NHB250802005304.RAWLUGJ,2025-08-02 00:53:04,Short Range,8,29.54,Clear
NHB250802010007.RAWLUGM,2025-08-02 01:00:07,Long Range,4,30.99,Light rain
NHB250802010304.RAWLUGS,2025-08-02 01:03:04,Short Range,8,30.19,Light rain
NHB250802011008.RAWLUGV,2025-08-02 01:10:08,Long Range,4,30.44,Light rain
NHB250802011304.RAWLUGZ,2025-08-02 01:13:04,Short Range,8,30.43,Light rain
NHB250802012008.RAWLUH2,2025-08-02 01:20:08,Long Range,4,28.91,Clear
NHB250802012303.RAWLUH6,2025-08-02 01:23:03,Short Range,8,30.33,Light rain
NHB250802013008.RAWLUH9,2025-08-02 01:30:08,Long Range,4,31.22,Light rain
NHB250802013303.RAWLUHD,2025-08-02 01:33:03,Short Range,8,30.26,Light rain
NHB250802014008.RAWLUHG,2025-08-02 01:40:08,Long Range,4,28.89,Clear
NHB250802014304.RAWLUHL,2025-08-02 01:43:04,Short Range,8,29.83,Clear
NHB250802015008.RAWLUHP,2025-08-02 01:50:08,Long Range,4,28.13,Clear
