group_id,t0,file_t0,t3,file_t3,t10,file_t10,t13,file_t13
24,2025-08-01 08:00:08,NHB250801080008.RAWLTV0,2025-08-01 08:03:03,NHB250801080303.RAWLTV4,2025-08-01 08:10:08,NHB250801081008.RAWLTV7,2025-08-01 08:13:04,NHB250801081304.RAWLTVB
25,2025-08-01 08:20:07,NHB250801082007.RAWLTVE,2025-08-01 08:23:04,NHB250801082304.RAWLTVJ,2025-08-01 08:30:08,NHB250801083008.RAWLTVM,2025-08-01 08:33:04,NHB250801083304.RAWLTVS
26,2025-08-01 08:40:08,NHB250801084008.RAWLTVV,2025-08-01 08:43:03,NHB250801084303.RAWLTVZ,2025-08-01 08:50:08,NHB250801085008.RAWLTW2,2025-08-01 08:53:03,NHB250801085303.RAWLTW6
27,2025-08-01 09:00:07,NHB250801090007.RAWLTW9,2025-08-01 09:03:03,NHB250801090303.RAWLTWD,2025-08-01 09:10:08,NHB250801091008.RAWLTWG,2025-08-01 09:13:04,NHB250801091304.RAWLTWL
28,2025-08-01 09:20:08,NHB250801092008.RAWLTWP,2025-08-01 09:23:03,NHB250801092303.RAWLTWU,2025-08-01 09:30:08,NHB250801093008.RAWLTWX,2025-08-01 09:33:03,NHB250801093303.RAWLTX1
29,2025-08-01 09:40:07,NHB250801094007.RAWLTX4,2025-08-01 09:43:04,NHB250801094304.RAWLTX8,2025-08-01 09:50:08,NHB250801095008.RAWLTXB,2025-08-01 09:53:03,NHB250801095303.RAWLTXF
30,2025-08-01 10:00:08,NHB250801100008.RAWLTXJ,2025-08-01 10:03:04,NHB250801100304.RAWLTXN,2025-08-01 10:10:08,NHB250801101008.RAWLTXS,2025-08-01 10:13:04,NHB250801101304.RAWLTXW
31,2025-08-01 10:20:08,NHB250801102008.RAWLTXZ,2025-08-01 10:23:03,NHB250801102303.RAWLTY3,2025-08-01 10:30:08,NHB250801103008.RAWLTY6,2025-08-01 10:33:05,NHB250801103305.RAWLTYA
32,2025-08-01 10:40:08,NHB250801104008.RAWLTYD,2025-08-01 10:43:03,NHB250801104303.RAWLTYH,2025-08-01 10:50:07,NHB250801105007.RAWLTYL,2025-08-01 10:53:04,NHB250801105304.RAWLTYR
33,2025-08-01 11:00:08,NHB250801110008.RAWLTYU,2025-08-01 11:03:04,NHB250801110304.RAWLTYY,2025-08-01 11:10:07,NHB250801111007.RAWLTZ1,2025-08-01 11:13:05,NHB250801111305.RAWLTZ5
34,2025-08-01 11:20:08,NHB250801112008.RAWLTZ8,2025-08-01 11:23:03,NHB250801112303.RAWLTZC,2025-08-01 11:30:08,NHB250801113008.RAWLTZF,2025-08-01 11:33:03,NHB250801113303.RAWLTZK
35,2025-08-01 11:40:09,NHB250801114009.RAWLTZN,2025-08-01 11:43:04,NHB250801114304.RAWLTZT,2025-08-01 11:50:08,NHB250801115008.RAWLTZW,2025-08-01 11:53:04,NHB250801115304.RAWLU00
36,2025-08-01 12:00:07,NHB250801120007.RAWLU03,2025-08-01 12:03:04,NHB250801120304.RAWLU07,2025-08-01 12:10:08,NHB250801121008.RAWLU0A,2025-08-01 12:13:04,NHB250801121304.RAWLU0E
37,2025-08-01 12:20:07,NHB250801122007.RAWLU0H,2025-08-01 12:23:03,NHB250801122303.RAWLU0M,2025-08-01 12:30:08,NHB250801123008.RAWLU0R,2025-08-01 12:33:04,NHB250801123304.RAWLU0V
38,2025-08-01 12:40:08,NHB250801124008.RAWLU0Y,2025-08-01 12:43:04,NHB250801124304.RAWLU12,2025-08-01 12:50:09,NHB250801125009.RAWLU15,2025-08-01 12:53:04,NHB250801125304.RAWLU19
39,2025-08-01 13:00:08,NHB250801130008.RAWLU1C,2025-08-01 13:03:03,NHB250801130303.RAWLU1G,2025-08-01 13:10:08,NHB250801131008.RAWLU1K,2025-08-01 13:13:04,NHB250801131304.RAWLU1P
40,2025-08-01 13:20:07,NHB250801132007.RAWLU1T,2025-08-01 13:23:04,NHB250801132304.RAWLU1X,2025-08-01 13:30:08,NHB250801133008.RAWLU20,2025-08-01 13:33:03,NHB250801133303.RAWLU24
41,2025-08-01 13:40:08,NHB250801134008.RAWLU27,2025-08-01 13:43:03,NHB250801134303.RAWLU2B,2025-08-01 13:50:08,NHB250801135008.RAWLU2E,2025-08-01 13:53:03,NHB250801135303.RAWLU2J
42,2025-08-01 14:00:08,NHB250801140008.RAWLU2M,2025-08-01 14:03:03,NHB250801140303.RAWLU2S,2025-08-01 14:10:08,NHB250801141008.RAWLU2V,2025-08-01 14:13:03,NHB250801141303.RAWLU2Z
43,2025-08-01 14:20:08,NHB250801142008.RAWLU32,2025-08-01 14:23:04,NHB250801142304.RAWLU36,2025-08-01 14:30:07,NHB250801143007.RAWLU39,2025-08-01 14:33:04,NHB250801143304.RAWLU3D
44,2025-08-01 14:40:08,NHB250801144008.RAWLU3G,2025-08-01 14:43:03,NHB250801144303.RAWLU3L,2025-08-01 14:50:07,NHB250801145007.RAWLU3P,2025-08-01 14:53:03,NHB250801145303.RAWLU3U
45,2025-08-01 15:00:07,NHB250801150007.RAWLU3X,2025-08-01 15:03:03,NHB250801150303.RAWLU41,2025-08-01 15:10:08,NHB250801151008.RAWLU44,2025-08-01 15:13:04,NHB250801151304.RAWLU48
46,2025-08-01 15:20:08,NHB250801152008.RAWLU4B,2025-08-01 15:23:03,NHB250801152303.RAWLU4F,2025-08-01 15:30:08,NHB250801153008.RAWLU4J,2025-08-01 15:33:04,NHB250801153304.RAWLU4N
47,2025-08-01 15:40:08,NHB250801154008.RAWLU4S,2025-08-01 15:43:03,NHB250801154303.RAWLU4W,2025-08-01 15:50:07,NHB250801155007.RAWLU4Z,2025-08-01 15:53:05,NHB250801155305.RAWLU53
48,2025-08-01 16:00:08,NHB250801160008.RAWLU56,2025-08-01 16:03:04,NHB250801160304.RAWLU5A,2025-08-01 16:10:08,NHB250801161008.RAWLU5D,2025-08-01 16:13:03,NHB250801161303.RAWLU5H
49,2025-08-01 16:20:07,NHB250801162007.RAWLU5L,2025-08-01 16:23:03,NHB250801162303.RAWLU5R,2025-08-01 16:30:07,NHB250801163007.RAWLU5U,2025-08-01 16:33:05,NHB250801163305.RAWLU5Y
50,2025-08-01 16:40:08,NHB250801164008.RAWLU61,2025-08-01 16:43:03,NHB250801164303.RAWLU65,2025-08-01 16:50:09,NHB250801165009.RAWLU68,2025-08-01 16:53:03,NHB250801165303.RAWLU6C
51,2025-08-01 17:00:08,NHB250801170008.RAWLU6F,2025-08-01 17:03:04,NHB250801170304.RAWLU6K,2025-08-01 17:10:08,NHB250801171008.RAWLU6N,2025-08-01 17:13:03,NHB250801171303.RAWLU6T
52,2025-08-01 17:20:08,NHB250801172008.RAWLU6W,2025-08-01 17:23:03,NHB250801172303.RAWLU70,2025-08-01 17:30:07,NHB250801173007.RAWLU73,2025-08-01 17:33:03,NHB250801173303.RAWLU77
53,2025-08-01 17:40:07,NHB250801174007.RAWLU7A,2025-08-01 17:43:03,NHB250801174303.RAWLU7E,2025-08-01 17:50:08,NHB250801175008.RAWLU7H,2025-08-01 17:53:04,NHB250801175304.RAWLU7M
54,2025-08-01 18:00:09,NHB250801180009.RAWLU7R,2025-08-01 18:03:03,NHB250801180303.RAWLU7V,2025-08-01 18:10:08,NHB250801181008.RAWLU7Y,2025-08-01 18:13:03,NHB250801181303.RAWLU82
55,2025-08-01 18:20:07,NHB250801182007.RAWLU85,2025-08-01 18:23:03,NHB250801182303.RAWLU89,2025-08-01 18:30:08,NHB250801183008.RAWLU8C,2025-08-01 18:33:03,NHB250801183303.RAWLU8G
56,2025-08-01 18:40:08,NHB250801184008.RAWLU8K,2025-08-01 18:43:04,NHB250801184304.RAWLU8P,2025-08-01 18:50:08,NHB250801185008.RAWLU8T,2025-08-01 18:53:04,NHB250801185304.RAWLU8X
57,2025-08-01 19:00:08,NHB250801190008.RAWLU90,2025-08-01 19:03:04,NHB250801190304.RAWLU94,2025-08-01 19:10:08,NHB250801191008.RAWLU97,2025-08-01 19:13:03,NHB250801191303.RAWLU9B
58,2025-08-01 19:20:08,NHB250801192008.RAWLU9E,2025-08-01 19:23:03,NHB250801192303.RAWLU9J,2025-08-01 19:30:07,NHB250801193007.RAWLU9M,2025-08-01 19:33:03,NHB250801193303.RAWLU9S
59,2025-08-01 19:40:07,NHB250801194007.RAWLU9V,2025-08-01 19:43:04,NHB250801194304.RAWLU9Z,2025-08-01 19:50:08,NHB250801195008.RAWLUA2,2025-08-01 19:53:05,NHB250801195305.RAWLUA6
60,2025-08-01 20:00:08,NHB250801200008.RAWLUA9,2025-08-01 20:03:03,NHB250801200303.RAWLUAD,2025-08-01 20:10:08,NHB250801201008.RAWLUAG,2025-08-01 20:13:04,NHB250801201304.RAWLUAL
61,2025-08-01 20:20:08,NHB250801202008.RAWLUAP,2025-08-01 20:23:03,NHB250801202303.RAWLUAU,2025-08-01 20:30:08,NHB250801203008.RAWLUAX,2025-08-01 20:33:03,NHB250801203303.RAWLUB1
62,2025-08-01 20:40:08,NHB250801204008.RAWLUB4,2025-08-01 20:43:04,NHB250801204304.RAWLUB8,2025-08-01 20:50:07,NHB250801205007.RAWLUBB,2025-08-01 20:53:04,NHB250801205304.RAWLUBF
63,2025-08-01 21:00:07,NHB250801210007.RAWLUBJ,2025-08-01 21:03:03,NHB250801210303.RAWLUBN,2025-08-01 21:10:08,NHB250801211008.RAWLUBS,2025-08-01 21:13:03,NHB250801211303.RAWLUBW
64,2025-08-01 21:20:07,NHB250801212007.RAWLUBZ,2025-08-01 21:23:03,NHB250801212303.RAWLUC3,2025-08-01 21:30:08,NHB250801213008.RAWLUC6,2025-08-01 21:33:04,NHB250801213304.RAWLUCA
65,2025-08-01 21:40:08,NHB250801214008.RAWLUCD,2025-08-01 21:43:03,NHB250801214303.RAWLUCH,2025-08-01 21:50:08,NHB250801215008.RAWLUCL,2025-08-01 21:53:03,NHB250801215303.RAWLUCR
66,2025-08-01 22:00:07,NHB250801220007.RAWLUCU,2025-08-01 22:03:04,NHB250801220304.RAWLUCY,2025-08-01 22:10:08,NHB250801221008.RAWLUD1,2025-08-01 22:13:04,NHB250801221304.RAWLUD5
67,2025-08-01 22:20:08,NHB250801222008.RAWLUD8,2025-08-01 22:23:04,NHB250801222304.RAWLUDC,2025-08-01 22:30:07,NHB250801223007.RAWLUDF,2025-08-01 22:33:04,NHB250801223304.RAWLUDK
68,2025-08-01 22:40:08,NHB250801224008.RAWLUDN,2025-08-01 22:43:03,NHB250801224303.RAWLUDT,2025-08-01 22:50:07,NHB250801225007.RAWLUDW,2025-08-01 22:53:04,NHB250801225304.RAWLUE0
69,2025-08-01 23:00:07,NHB250801230007.RAWLUE3,2025-08-01 23:03:03,NHB250801230303.RAWLUE7,2025-08-01 23:10:07,NHB250801231007.RAWLUEA,2025-08-01 23:13:04,NHB250801231304.RAWLUEE
70,2025-08-01 23:20:08,NHB250801232008.RAWLUEH,2025-08-01 23:23:03,NHB250801232303.RAWLUEM,2025-08-01 23:30:08,NHB250801233008.RAWLUER,2025-08-01 23:33:05,NHB250801233305.RAWLUEV
71,2025-08-01 23:40:07,NHB250801234007.RAWLUEY,2025-08-01 23:43:04,NHB250801234304.RAWLUF2,2025-08-01 23:50:08,NHB250801235008.RAWLUF5,2025-08-01 23:53:03,NHB250801235303.RAWLUF9
72,2025-08-02 00:00:08,NHB250802000008.RAWLUFC,2025-08-02 00:03:03,NHB250802000303.RAWLUFG,2025-08-02 00:10:07,NHB250802001007.RAWLUFK,2025-08-02 00:13:03,NHB250802001303.RAWLUFP
73,2025-08-02 00:20:07,NHB250802002007.RAWLUFT,2025-08-02 00:23:04,NHB250802002304.RAWLUFX,2025-08-02 00:30:09,NHB250802003009.RAWLUG0,2025-08-02 00:33:03,NHB250802003303.RAWLUG4
74,2025-08-02 00:40:08,NHB250802004008.RAWLUG7,2025-08-02 00:43:04,NHB250802004304.RAWLUGB,2025-08-02 00:50:07,NHB250802005007.RAWLUGE,2025-08-02 00:53:04,NHB250802005304.RAWLUGJ
75,2025-08-02 01:00:07,NHB250802010007.RAWLUGM,2025-08-02 01:03:04,NHB250802010304.RAWLUGS,2025-08-02 01:10:08,NHB250802011008.RAWLUGV,2025-08-02 01:13:04,NHB250802011304.RAWLUGZ
76,2025-08-02 01:20:08,NHB250802012008.RAWLUH2,2025-08-02 01:23:03,NHB250802012303.RAWLUH6,2025-08-02 01:30:08,NHB250802013008.RAWLUH9,2025-08-02 01:33:03,NHB250802013303.RAWLUHD
77,2025-08-02 01:40:08,NHB250802014008.RAWLUHG,2025-08-02 01:43:04,NHB250802014304.RAWLUHL,2025-08-02 01:50:08,NHB250802015008.RAWLUHP,2025-08-02 01:53:04,NHB250802015304.RAWLUHU
78,2025-08-02 02:00:07,NHB250802020007.RAWLUHX,2025-08-02 02:03:03,NHB250802020303.RAWLUJ1,2025-08-02 02:10:08,NHB250802021008.RAWLUJ4,2025-08-02 02:13:04,NHB250802021304.RAWLUJ8
79,2025-08-02 02:20:08,NHB250802022008.RAWLUJB,2025-08-02 02:23:03,NHB250802022303.RAWLUJF,2025-08-02 02:30:08,NHB250802023008.RAWLUJJ,2025-08-02 02:33:03,NHB250802023303.RAWLUJN
80,2025-08-02 02:40:08,NHB250802024008.RAWLUJS,2025-08-02 02:43:03,NHB250802024303.RAWLUJW,2025-08-02 02:50:08,NHB250802025008.RAWLUJZ,2025-08-02 02:53:03,NHB250802025303.RAWLUK3
81,2025-08-02 03:00:08,NHB250802030008.RAWLUK6,2025-08-02 03:03:04,NHB250802030304.RAWLUKA,2025-08-02 03:10:07,NHB250802031007.RAWLUKD,2025-08-02 03:13:04,NHB250802031304.RAWLUKH
82,2025-08-02 03:20:07,NHB250802032007.RAWLUKL,2025-08-02 03:23:03,NHB250802032303.RAWLUKR,2025-08-02 03:30:08,NHB250802033008.RAWLUKU,2025-08-02 03:33:03,NHB250802033303.RAWLUKY
83,2025-08-02 03:40:08,NHB250802034008.RAWLUL1,2025-08-02 03:43:03,NHB250802034303.RAWLUL5,2025-08-02 03:50:08,NHB250802035008.RAWLUL8,2025-08-02 03:53:04,NHB250802035304.RAWLULC
84,2025-08-02 04:00:08,NHB250802040008.RAWLULF,2025-08-02 04:03:04,NHB250802040304.RAWLULK,2025-08-02 04:10:08,NHB250802041008.RAWLULN,2025-08-02 04:13:04,NHB250802041304.RAWLULT
85,2025-08-02 04:20:09,NHB250802042009.RAWLULW,2025-08-02 04:23:03,NHB250802042303.RAWLUM0,2025-08-02 04:30:08,NHB250802043008.RAWLUM3,2025-08-02 04:33:03,NHB250802043303.RAWLUM7
86,2025-08-02 04:40:07,NHB250802044007.RAWLUMA,2025-08-02 04:43:04,NHB250802044304.RAWLUME,2025-08-02 04:50:08,NHB250802045008.RAWLUMH,2025-08-02 04:53:04,NHB250802045304.RAWLUMM
87,2025-08-02 05:00:07,NHB250802050007.RAWLUMR,2025-08-02 05:03:03,NHB250802050303.RAWLUMV,2025-08-02 05:10:08,NHB250802051008.RAWLUMY,2025-08-02 05:13:04,NHB250802051304.RAWLUN2
88,2025-08-02 05:20:07,NHB250802052007.RAWLUN5,2025-08-02 05:23:03,NHB250802052303.RAWLUN9,2025-08-02 05:30:08,NHB250802053008.RAWLUNC,2025-08-02 05:33:04,NHB250802053304.RAWLUNG
89,2025-08-02 05:40:08,NHB250802054008.RAWLUNK,2025-08-02 05:43:03,NHB250802054303.RAWLUNP,2025-08-02 05:50:07,NHB250802055007.RAWLUNT,2025-08-02 05:53:03,NHB250802055303.RAWLUNX
90,2025-08-02 06:00:09,NHB250802060009.RAWLUP0,2025-08-02 06:03:03,NHB250802060303.RAWLUP4,2025-08-02 06:10:07,NHB250802061007.RAWLUP7,2025-08-02 06:13:04,NHB250802061304.RAWLUPB
91,2025-08-02 06:20:08,NHB250802062008.RAWLUPE,2025-08-02 06:23:04,NHB250802062304.RAWLUPJ,2025-08-02 06:30:07,NHB250802063007.RAWLUPM,2025-08-02 06:33:03,NHB250802063303.RAWLUPS
92,2025-08-02 06:40:07,NHB250802064007.RAWLUPV,2025-08-02 06:43:04,NHB250802064304.RAWLUPZ,2025-08-02 06:50:07,NHB250802065007.RAWLUR2,2025-08-02 06:53:03,NHB250802065303.RAWLUR6
93,2025-08-02 07:00:08,NHB250802070008.RAWLUR9,2025-08-02 07:03:04,NHB250802070304.RAWLURD,2025-08-02 07:10:08,NHB250802071008.RAWLURG,2025-08-02 07:13:03,NHB250802071303.RAWLURL
94,2025-08-02 07:20:07,NHB250802072007.RAWLURP,2025-08-02 07:23:03,NHB250802072303.RAWLURU,2025-08-02 07:30:07,NHB250802073007.RAWLURX,2025-08-02 07:33:04,NHB250802073304.RAWLUS1
95,2025-08-02 07:40:07,NHB250802074007.RAWLUS4,2025-08-02 07:43:04,NHB250802074304.RAWLUS8,2025-08-02 07:50:08,NHB250802075008.RAWLUSB,2025-08-02 07:53:03,NHB250802075303.RAWLUSF
96,2025-08-02 08:00:08,NHB250802080008.RAWLUSJ,2025-08-02 08:03:04,NHB250802080304.RAWLUSN,2025-08-02 08:10:07,NHB250802081007.RAWLUSS,2025-08-02 08:13:03,NHB250802081303.RAWLUSW
97,2025-08-02 08:20:07,NHB250802082007.RAWLUSZ,2025-08-02 08:23:04,NHB250802082304.RAWLUT3,2025-08-02 08:30:07,NHB250802083007.RAWLUT6,2025-08-02 08:33:03,NHB250802083303.RAWLUTA
98,2025-08-02 08:40:07,NHB250802084007.RAWLUTD,2025-08-02 08:43:04,NHB250802084304.RAWLUTH,2025-08-02 08:50:07,NHB250802085007.RAWLUTL,2025-08-02 08:53:03,NHB250802085303.RAWLUTR
99,2025-08-02 09:00:08,NHB250802090008.RAWLUTU,2025-08-02 09:03:03,NHB250802090303.RAWLUTY,2025-08-02 09:10:08,NHB250802091008.RAWLUU1,2025-08-02 09:13:04,NHB250802091304.RAWLUU5
100,2025-08-02 09:20:07,NHB250802092007.RAWLUU8,2025-08-02 09:23:05,NHB250802092305.RAWLUUC,2025-08-02 09:30:08,NHB250802093008.RAWLUUF,2025-08-02 09:33:03,NHB250802093303.RAWLUUK
101,2025-08-02 09:40:08,NHB250802094008.RAWLUUN,2025-08-02 09:43:04,NHB250802094304.RAWLUUT,2025-08-02 09:50:08,NHB250802095008.RAWLUUW,2025-08-02 09:53:03,NHB250802095303.RAWLUV0
102,2025-08-02 10:00:08,NHB250802100008.RAWLUV3,2025-08-02 10:03:03,NHB250802100303.RAWLUV7,2025-08-02 10:10:08,NHB250802101008.RAWLUVA,2025-08-02 10:13:03,NHB250802101303.RAWLUVE
103,2025-08-02 10:20:08,NHB250802102008.RAWLUVH,2025-08-02 10:23:03,NHB250802102303.RAWLUVM,2025-08-02 10:30:07,NHB250802103007.RAWLUVR,2025-08-02 10:33:03,NHB250802103303.RAWLUVV
104,2025-08-02 10:40:07,NHB250802104007.RAWLUVY,2025-08-02 10:43:05,NHB250802104305.RAWLUW2,2025-08-02 10:50:08,NHB250802105008.RAWLUW5,2025-08-02 10:53:03,NHB250802105303.RAWLUW9
105,2025-08-02 11:00:07,NHB250802110007.RAWLUWC,2025-08-02 11:03:04,NHB250802110304.RAWLUWG,2025-08-02 11:10:08,NHB250802111008.RAWLUWK,2025-08-02 11:13:03,NHB250802111303.RAWLUWP
106,2025-08-02 11:20:08,NHB250802112008.RAWLUWT,2025-08-02 11:23:03,NHB250802112303.RAWLUWX,2025-08-02 11:30:07,NHB250802113007.RAWLUX0,2025-08-02 11:33:03,NHB250802113303.RAWLUX4
107,2025-08-02 11:40:08,NHB250802114008.RAWLUX7,2025-08-02 11:43:04,NHB250802114304.RAWLUXB,2025-08-02 11:50:08,NHB250802115008.RAWLUXE,2025-08-02 11:53:03,NHB250802115303.RAWLUXJ
108,2025-08-02 12:00:08,NHB250802120008.RAWLUXM,2025-08-02 12:03:03,NHB250802120303.RAWLUXS,2025-08-02 12:10:08,NHB250802121008.RAWLUXV,2025-08-02 12:13:04,NHB250802121304.RAWLUXZ
109,2025-08-02 12:20:07,NHB250802122007.RAWLUY2,2025-08-02 12:23:03,NHB250802122303.RAWLUY6,2025-08-02 12:30:08,NHB250802123008.RAWLUY9,2025-08-02 12:33:03,NHB250802123303.RAWLUYD
110,2025-08-02 12:40:08,NHB250802124008.RAWLUYG,2025-08-02 12:43:04,NHB250802124304.RAWLUYL,2025-08-02 12:50:08,NHB250802125008.RAWLUYP,2025-08-02 12:53:03,NHB250802125303.RAWLUYU
111,2025-08-02 13:00:07,NHB250802130007.RAWLUYX,2025-08-02 13:03:03,NHB250802130303.RAWLUZ1,2025-08-02 13:10:08,NHB250802131008.RAWLUZ4,2025-08-02 13:13:04,NHB250802131304.RAWLUZ8
112,2025-08-02 13:20:08,NHB250802132008.RAWLUZB,2025-08-02 13:23:04,NHB250802132304.RAWLUZF,2025-08-02 13:30:08,NHB250802133008.RAWLUZJ,2025-08-02 13:33:03,NHB250802133303.RAWLUZN
113,2025-08-02 13:40:08,NHB250802134008.RAWLUZS,2025-08-02 13:43:05,NHB250802134305.RAWLUZW,2025-08-02 13:50:08,NHB250802135008.RAWLUZZ,2025-08-02 13:53:03,NHB250802135303.RAWLV03
114,2025-08-02 14:00:08,NHB250802140008.RAWLV06,2025-08-02 14:03:03,NHB250802140303.RAWLV0A,2025-08-02 14:10:09,NHB250802141009.RAWLV0D,2025-08-02 14:13:04,NHB250802141304.RAWLV0H
115,2025-08-02 14:20:08,NHB250802142008.RAWLV0L,2025-08-02 14:23:04,NHB250802142304.RAWLV0R,2025-08-02 14:30:08,NHB250802143008.RAWLV0U,2025-08-02 14:33:03,NHB250802143303.RAWLV0Y
116,2025-08-02 14:40:08,NHB250802144008.RAWLV11,2025-08-02 14:43:03,NHB250802144303.RAWLV15,2025-08-02 14:50:08,NHB250802145008.RAWLV18,2025-08-02 14:53:03,NHB250802145303.RAWLV1C
117,2025-08-02 15:00:08,NHB250802150008.RAWLV1F,2025-08-02 15:03:04,NHB250802150304.RAWLV1K,2025-08-02 15:10:08,NHB250802151008.RAWLV1N,2025-08-02 15:13:03,NHB250802151303.RAWLV1T
